stno_en	stno	lng	lat	asl_m	density	type
BANQIAO	466880	121.442017	24.997647	9.7	24082.92999	A
TAIPEI	466920	121.514853	25.037658	6.255	20736.28584	A
KEELUNG	466940	121.740475	25.133314	26.7	10181.8826	A
TAICHUNG	467490	120.684075	24.145736	84.04	21145.10086	A
TAINAN	467410	120.204772	22.993239	40.8	12497.28435	A
YONGKANG	467420	120.2367	23.038386	8.1	5850.633018	A
KAOHSIUNG	467440	120.315733	22.565992	2.3	9775.740428	A
HSINCHU	467571	121.014219	24.827853	26.9	4217.738784	B1
TAMSUI	466900	121.448906	25.164889	19	2562.510614	B1
XINWU	467050	121.047486	25.006744	20.6	579.3692055	B1
WUQI	467770	120.523381	24.256003	31.73	3562.442412	B1
CHIAYI	467480	120.432906	23.495925	26.9	4916.80616	B1
HENGCHUN	467590	120.746339	22.003897	22.1	223.0647178	B1
HUALIEN	466990	121.613275	23.975128	16	3500.26352	B2
SU-AO	467060	121.857372	24.596736	24.9	438.5326378	B2
YILAN	467080	121.756528	24.763975	7.2	3250.646083	B2
DAWU	467540	120.903789	22.355675	8.1	83.25933468	B2
CHENGGONG	467610	121.373428	23.097486	33.5	94.41666667	B2
TAITUNG	467660	121.154586	22.752211	9	957.8105314	B2
ANBU	466910	121.529731	25.182586	825.8	4455.259972	C
ZHUZIHU	466930	121.544547	25.162078	607.1	4455.259972	C
ALISHAN	467530	120.813242	23.508208	2413.4	12.95556286	C
YUSHAN	467550	120.959522	23.487614	3844.8	11.18073136	C
SUN MOON LAKE	467650	120.90805	23.881325	1017.5	128.0674941	C
MATSU	467990	119.923419	26.169269	97.842	729.1346154	D
PENGJIAYU	466950	122.079744	25.627975	101.7	35.0877193	D
DONGJIDAO	467300	119.667467	23.25695	43	383.8954028	D
LANYU	467620	121.558339	22.036969	324	106.1600522	D
KINMEN	467110	118.289281	24.407306	47.88	1983.650348	D
PENGHU	467350	119.563094	23.565503	10.7	1845.945199	D
